date,open,high,low,close,volume,money,open_interest,symbol
2007-05-08,33705.0,33705.0,33705.0,33705.0,584.0,98418600.0,28310.0,ZN0707
2007-05-09,35590.0,35590.0,34500.0,34555.0,96548.0,16799352000.0,34890.0,ZN0707
2007-05-10,34190.0,34745.0,34105.0,34710.0,107616.0,18534165600.0,38946.0,ZN0707
2007-05-11,33800.0,34000.0,33205.0,33330.0,85600.0,14425740000.0,34698.0,ZN0707
2007-05-14,33860.0,33900.0,33330.0,33410.0,71204.0,11962272000.0,34302.0,ZN0707
2007-05-15,32600.0,32630.0,32255.0,32255.0,55048.0,8908142600.0,30324.0,ZN0707
2007-05-16,32300.0,32530.0,31435.0,31830.0,88234.0,14027000150.0,29566.0,ZN0707
2007-05-17,30525.0,31015.0,30520.0,30520.0,57508.0,8827478000.0,25270.0,ZN0707
2007-05-18,29720.0,30140.0,28900.0,29355.0,128688.0,19010434800.0,23178.0,ZN0707
2007-05-21,29545.0,30725.0,29545.0,30725.0,51496.0,7820955000.0,20958.0,ZN0707
2007-05-22,31350.0,32000.0,30565.0,30895.0,128026.0,19933648200.0,23328.0,ZN0707
2007-05-23,30110.0,30350.0,29920.0,30130.0,64856.0,9783527600.0,22962.0,ZN0707
2007-05-24,29910.0,30600.0,29910.0,30585.0,82826.0,12572986800.0,25334.0,ZN0707
2007-05-25,29310.0,29880.0,29310.0,29800.0,53938.0,7949112750.0,21868.0,ZN0707
2007-05-28,30650.0,30650.0,30650.0,30650.0,1540.0,236005000.0,20584.0,ZN0707
2007-05-29,31200.0,31200.0,30120.0,30245.0,54810.0,8358525000.0,21398.0,ZN0707
2007-05-30,30200.0,30655.0,30005.0,30125.0,65978.0,10002264800.0,19852.0,ZN0707
2007-05-31,30365.0,30780.0,30295.0,30705.0,45712.0,6975651200.0,20916.0,ZN0707
2007-06-01,31010.0,31095.0,30490.0,30590.0,40076.0,6148660300.0,18400.0,ZN0707
2007-06-04,30600.0,30670.0,30150.0,30150.0,14022.0,2130642900.0,16120.0,ZN0707
2007-06-05,30480.0,30780.0,30360.0,30515.0,9690.0,1479178500.0,13614.0,ZN0707
2007-06-06,30600.0,30850.0,30535.0,30675.0,30910.0,4750867000.0,16090.0,ZN0708
2007-06-07,30300.0,30485.0,30010.0,30140.0,37566.0,5677161750.0,16450.0,ZN0708
2007-06-08,30100.0,30250.0,29780.0,29925.0,31964.0,4793001800.0,17286.0,ZN0708
2007-06-11,30010.0,30280.0,29730.0,30270.0,49936.0,7497890400.0,20506.0,ZN0708
2007-06-12,30490.0,30530.0,29960.0,29980.0,35568.0,5376103200.0,18604.0,ZN0708
2007-06-13,29900.0,30050.0,29780.0,29965.0,20366.0,3050317650.0,17534.0,ZN0708
2007-06-14,30010.0,30045.0,29730.0,29780.0,17254.0,2573434100.0,18774.0,ZN0708
2007-06-15,29850.0,29900.0,28820.0,28870.0,45988.0,6718846800.0,18144.0,ZN0708
2007-06-18,29080.0,29360.0,28785.0,29280.0,47068.0,6836627000.0,19464.0,ZN0708
2007-06-19,28980.0,28980.0,28615.0,28750.0,34306.0,4938348700.0,18318.0,ZN0708
2007-06-20,28610.0,29050.0,28580.0,28905.0,36328.0,5237589400.0,18372.0,ZN0708
2007-06-21,28805.0,28880.0,28680.0,28810.0,20252.0,2914262800.0,18108.0,ZN0708
2007-06-22,28480.0,28490.0,28110.0,28160.0,38262.0,5398768200.0,19238.0,ZN0708
2007-06-25,28205.0,28220.0,27090.0,27090.0,49488.0,6814497600.0,22062.0,ZN0708
2007-06-26,27270.0,27290.0,26445.0,26455.0,82268.0,10978664600.0,20938.0,ZN0708
2007-06-27,25900.0,25930.0,25620.0,25620.0,18634.0,2390742200.0,18616.0,ZN0708
2007-06-28,25420.0,26560.0,25390.0,26550.0,57652.0,7503407800.0,15514.0,ZN0708
2007-06-29,26565.0,27015.0,25850.0,26695.0,233410.0,30926825000.0,26708.0,ZN0709
2007-07-02,26415.0,26750.0,26165.0,26620.0,162866.0,21563458400.0,28050.0,ZN0709
2007-07-03,27100.0,27535.0,27000.0,27535.0,116604.0,15878549700.0,28214.0,ZN0709
2007-07-04,27255.0,27440.0,26605.0,26655.0,188006.0,25404310750.0,33972.0,ZN0709
2007-07-05,26900.0,27000.0,26510.0,26670.0,158864.0,21212315600.0,34226.0,ZN0709
2007-07-06,26555.0,26580.0,26150.0,26250.0,115788.0,15220332600.0,36054.0,ZN0709
2007-07-09,26325.0,27070.0,26320.0,26990.0,114632.0,15363553800.0,33038.0,ZN0709
2007-07-10,26810.0,26885.0,26520.0,26565.0,117976.0,15726200800.0,35138.0,ZN0709
2007-07-11,26510.0,26510.0,26215.0,26360.0,90986.0,11980581550.0,34896.0,ZN0709
2007-07-12,26880.0,26955.0,26560.0,26940.0,81722.0,10938489700.0,30630.0,ZN0709
2007-07-13,27000.0,27325.0,26830.0,27210.0,81766.0,11109955250.0,30072.0,ZN0709
2007-07-16,27255.0,27420.0,27030.0,27070.0,85012.0,11544629600.0,31108.0,ZN0709
2007-07-17,26800.0,27000.0,26680.0,26980.0,53578.0,7183470350.0,31866.0,ZN0709
2007-07-18,26910.0,27450.0,26900.0,27340.0,74262.0,10110771300.0,34482.0,ZN0709
2007-07-19,27340.0,27535.0,27250.0,27400.0,68300.0,9348562500.0,34002.0,ZN0709
2007-07-20,27810.0,28470.0,27810.0,28470.0,79684.0,11249388700.0,30838.0,ZN0709
2007-07-23,28820.0,29880.0,28780.0,29230.0,140614.0,20603466350.0,31298.0,ZN0709
2007-07-24,28950.0,29030.0,28470.0,28530.0,144676.0,20800791900.0,27326.0,ZN0709
2007-07-25,28600.0,28970.0,28600.0,28900.0,101582.0,14640505750.0,28498.0,ZN0709
2007-07-26,28400.0,29195.0,28280.0,29120.0,116282.0,16756236200.0,25746.0,ZN0709
2007-07-27,28310.0,28815.0,28120.0,28275.0,128304.0,18267282000.0,23080.0,ZN0709
2007-07-30,28300.0,28600.0,28255.0,28425.0,66614.0,9482502900.0,20584.0,ZN0709
2007-07-31,28530.0,28800.0,28530.0,28700.0,31224.0,4478302200.0,15722.0,ZN0709
2007-08-01,29010.0,29100.0,28100.0,28110.0,72612.0,10352655900.0,22262.0,ZN0710
2007-08-02,28450.0,28495.0,28040.0,28395.0,89268.0,12624726900.0,23586.0,ZN0710
2007-08-03,28250.0,28400.0,28150.0,28350.0,48774.0,6903959700.0,24716.0,ZN0710
2007-08-06,27350.0,27660.0,27350.0,27470.0,58146.0,8002343250.0,27880.0,ZN0710
2007-08-07,27960.0,27960.0,27580.0,27630.0,48522.0,6720297000.0,30298.0,ZN0710
2007-08-08,27960.0,28030.0,27710.0,27820.0,51332.0,7146697700.0,30218.0,ZN0710
2007-08-09,27860.0,28390.0,27805.0,28390.0,72066.0,10137884550.0,30324.0,ZN0710
2007-08-10,27950.0,28155.0,27780.0,27965.0,82838.0,11570397650.0,31452.0,ZN0710
2007-08-13,28160.0,28215.0,28000.0,28120.0,43826.0,6159744300.0,32806.0,ZN0710
2007-08-14,28150.0,28170.0,27905.0,28005.0,33128.0,4641232800.0,33466.0,ZN0710
2007-08-15,27710.0,27850.0,27630.0,27750.0,26888.0,3732726600.0,34384.0,ZN0710
2007-08-16,27610.0,27875.0,26700.0,27100.0,101264.0,13776967200.0,36448.0,ZN0710
2007-08-17,26120.0,26280.0,26120.0,26120.0,24842.0,3247470450.0,36480.0,ZN0710
2007-08-20,26405.0,27080.0,26405.0,27020.0,78382.0,10497309350.0,39066.0,ZN0710
2007-08-21,26790.0,26975.0,26555.0,26770.0,75180.0,10051566000.0,37348.0,ZN0710
2007-08-22,26700.0,26890.0,26485.0,26800.0,56846.0,7577571800.0,35012.0,ZN0710
2007-08-23,27490.0,27650.0,27320.0,27600.0,49946.0,6865077700.0,30928.0,ZN0710
2007-08-24,27605.0,27610.0,27210.0,27240.0,40276.0,5511770600.0,29852.0,ZN0710
2007-08-27,27550.0,27790.0,27430.0,27725.0,25802.0,3573577000.0,26080.0,ZN0710
2007-08-28,27780.0,27780.0,27400.0,27450.0,11700.0,1614307500.0,23826.0,ZN0710
2007-08-29,26700.0,27000.0,26610.0,26915.0,48196.0,6465493400.0,26568.0,ZN0711
2007-08-30,27175.0,27410.0,27160.0,27300.0,46192.0,6306362800.0,28590.0,ZN0711
2007-08-31,27300.0,27505.0,27110.0,27500.0,60118.0,8207609950.0,32910.0,ZN0711
2007-09-03,27700.0,27780.0,27425.0,27450.0,53458.0,7369185300.0,34042.0,ZN0711
2007-09-04,27255.0,27670.0,27215.0,27510.0,60116.0,8265950000.0,37106.0,ZN0711
2007-09-05,27355.0,27500.0,26920.0,27130.0,98352.0,13375872000.0,44994.0,ZN0711
2007-09-06,26680.0,26780.0,26305.0,26380.0,105754.0,13991254200.0,60732.0,ZN0711
2007-09-07,26520.0,26635.0,26395.0,26405.0,66740.0,8844718500.0,66084.0,ZN0711
2007-09-10,26000.0,26090.0,25570.0,25580.0,68966.0,8875924200.0,73392.0,ZN0711
2007-09-11,25280.0,26010.0,25200.0,25870.0,138166.0,17723243650.0,79846.0,ZN0711
2007-09-12,26300.0,26300.0,25705.0,25740.0,111454.0,14424933950.0,80306.0,ZN0711
2007-09-13,25900.0,25950.0,25630.0,25670.0,67536.0,8707078800.0,79946.0,ZN0711
2007-09-14,26100.0,26100.0,25825.0,26065.0,81586.0,10583743850.0,75306.0,ZN0711
2007-09-17,26000.0,26480.0,25950.0,26435.0,72996.0,9571600500.0,72360.0,ZN0711
2007-09-18,26100.0,26380.0,26050.0,26125.0,75486.0,9884891700.0,71608.0,ZN0711
2007-09-19,26650.0,26780.0,26420.0,26695.0,74360.0,9888021000.0,61040.0,ZN0711
2007-09-20,26800.0,27080.0,26695.0,26820.0,52644.0,7088514600.0,55646.0,ZN0711
2007-09-21,26700.0,26780.0,26500.0,26715.0,29044.0,3866482500.0,52166.0,ZN0711
2007-09-24,26630.0,26845.0,26600.0,26720.0,14422.0,1928581950.0,49716.0,ZN0711
2007-09-25,26760.0,26850.0,26635.0,26840.0,16256.0,2176272000.0,43814.0,ZN0711
2007-09-26,26530.0,26600.0,26385.0,26435.0,38582.0,5109221350.0,45808.0,ZN0712
2007-09-27,26595.0,26750.0,26520.0,26745.0,55036.0,7330795200.0,45880.0,ZN0712
2007-09-28,27080.0,27125.0,26910.0,27125.0,51256.0,6925967000.0,48314.0,ZN0712
2007-10-08,27055.0,27060.0,26160.0,26295.0,50720.0,6715328000.0,50324.0,ZN0712
2007-10-09,26010.0,26175.0,25830.0,25920.0,53222.0,6906885050.0,54094.0,ZN0712
2007-10-10,26100.0,26160.0,25930.0,26115.0,44808.0,5836242000.0,56692.0,ZN0712
2007-10-11,26350.0,26400.0,26180.0,26275.0,43318.0,5689819300.0,55496.0,ZN0712
2007-10-12,26250.0,26400.0,26015.0,26335.0,40430.0,5302394500.0,54792.0,ZN0712
2007-10-15,26500.0,26865.0,26430.0,26850.0,66992.0,8935058000.0,56772.0,ZN0712
2007-10-16,26750.0,26880.0,26475.0,26810.0,56154.0,7496559000.0,56346.0,ZN0712
2007-10-17,26300.0,26550.0,26230.0,26305.0,54694.0,7214138600.0,53250.0,ZN0712
2007-10-18,26280.0,26285.0,26105.0,26200.0,33368.0,4366202800.0,52030.0,ZN0712
2007-10-19,26160.0,26360.0,26130.0,26310.0,23894.0,3136684850.0,45488.0,ZN0712
2007-10-22,26010.0,26100.0,25520.0,25550.0,23722.0,3060731050.0,40480.0,ZN0712
2007-10-23,25650.0,25860.0,25550.0,25685.0,14698.0,1886855750.0,37476.0,ZN0712
2007-10-24,25680.0,25715.0,25370.0,25445.0,8018.0,1024299500.0,35932.0,ZN0712
2007-10-25,25350.0,25460.0,25265.0,25345.0,47306.0,5999583450.0,36138.0,ZN0801
2007-10-26,25470.0,25660.0,25400.0,25650.0,35628.0,4547914200.0,36398.0,ZN0801
2007-10-29,25700.0,25980.0,25655.0,25910.0,45612.0,5902192800.0,40894.0,ZN0801
2007-10-30,25600.0,25600.0,25225.0,25355.0,44882.0,5696647850.0,45130.0,ZN0801
2007-10-31,25250.0,25505.0,24980.0,25250.0,65824.0,8298760800.0,50636.0,ZN0801
2007-11-01,25445.0,25445.0,24580.0,24590.0,99302.0,12281174850.0,63564.0,ZN0801
2007-11-02,24100.0,24150.0,23745.0,23745.0,59660.0,7108489000.0,66370.0,ZN0801
2007-11-05,23990.0,24050.0,23000.0,23175.0,147652.0,17245753600.0,66662.0,ZN0801
2007-11-06,23150.0,23485.0,22710.0,23295.0,172490.0,19922595000.0,68724.0,ZN0801
2007-11-07,23530.0,23620.0,23185.0,23390.0,137134.0,16058391400.0,69506.0,ZN0801
2007-11-08,22900.0,22950.0,22480.0,22480.0,134994.0,15304944750.0,72454.0,ZN0801
2007-11-09,22620.0,22790.0,22440.0,22720.0,159770.0,18089958250.0,69576.0,ZN0801
2007-11-12,22400.0,22400.0,21760.0,21805.0,147826.0,16319990400.0,67186.0,ZN0801
2007-11-13,21600.0,21680.0,21195.0,21195.0,83472.0,8881420800.0,62244.0,ZN0801
2007-11-14,21110.0,21480.0,21035.0,21230.0,156484.0,16645985500.0,66388.0,ZN0801
2007-11-15,21675.0,21725.0,20480.0,20725.0,189858.0,19977808050.0,65366.0,ZN0801
2007-11-16,20200.0,20375.0,20200.0,20200.0,34850.0,3526820000.0,63598.0,ZN0801
2007-11-19,20200.0,20205.0,19025.0,19025.0,144054.0,13951629900.0,61904.0,ZN0801
2007-11-20,18205.0,18205.0,18205.0,18205.0,7172.0,652831300.0,56526.0,ZN0801
2007-11-21,18205.0,18205.0,18205.0,18205.0,0.0,0.0,56526.0,ZN0801
2007-11-22,16205.0,18880.0,16100.0,17870.0,377282.0,32672621200.0,33162.0,ZN0801
2007-11-23,17700.0,18010.0,17080.0,18010.0,114356.0,10046174600.0,31524.0,ZN0801
2007-11-26,18270.0,18620.0,17650.0,18300.0,107474.0,9774760300.0,25930.0,ZN0801
2007-11-27,18400.0,18680.0,18050.0,18495.0,285626.0,26306154600.0,31880.0,ZN0802
2007-11-28,18400.0,18985.0,18350.0,18950.0,258240.0,24158352000.0,34722.0,ZN0802
2007-11-29,19370.0,19455.0,19050.0,19455.0,153496.0,14781664800.0,35882.0,ZN0802
2007-11-30,19380.0,19710.0,18800.0,19035.0,456216.0,43853763000.0,45260.0,ZN0802
2007-12-03,19235.0,19525.0,18600.0,18715.0,346682.0,32856786550.0,55704.0,ZN0802
2007-12-04,18310.0,18420.0,18195.0,18195.0,76358.0,6981030150.0,53610.0,ZN0802
2007-12-05,18090.0,18250.0,17560.0,18200.0,398404.0,36035641800.0,54964.0,ZN0802
2007-12-06,17950.0,18385.0,17750.0,17940.0,399224.0,36099830200.0,55274.0,ZN0802
2007-12-07,18100.0,18225.0,17900.0,18170.0,316800.0,28646640000.0,55126.0,ZN0802
2007-12-10,18400.0,18450.0,18130.0,18325.0,214206.0,19589138700.0,50912.0,ZN0802
2007-12-11,18150.0,18445.0,18060.0,18395.0,170058.0,15530546850.0,54410.0,ZN0802
2007-12-12,18410.0,18410.0,17530.0,17595.0,286740.0,25584376500.0,59344.0,ZN0802
2007-12-13,17940.0,18265.0,17765.0,18135.0,249534.0,22539158550.0,52370.0,ZN0802
2007-12-14,17670.0,17900.0,17650.0,17870.0,156874.0,13938254900.0,51500.0,ZN0802
2007-12-17,17800.0,17900.0,17500.0,17550.0,157836.0,13917189300.0,59196.0,ZN0802
2007-12-18,17355.0,17545.0,17260.0,17480.0,125366.0,10913110300.0,53694.0,ZN0802
2007-12-19,17550.0,17735.0,17400.0,17720.0,89174.0,7822789150.0,46714.0,ZN0802
2007-12-20,17800.0,18245.0,17695.0,18220.0,78416.0,7059400400.0,40838.0,ZN0802
2007-12-21,18000.0,18725.0,17940.0,18690.0,64460.0,5941600500.0,26870.0,ZN0802
2007-12-24,18980.0,19075.0,18980.0,19075.0,6830.0,650216000.0,42350.0,ZN0803
2007-12-25,19980.0,19980.0,18620.0,18985.0,252356.0,24150469200.0,34762.0,ZN0803
2007-12-26,18985.0,19310.0,18790.0,19250.0,160708.0,15379755600.0,38508.0,ZN0803
2007-12-27,19200.0,19850.0,19190.0,19370.0,211050.0,20598480000.0,39916.0,ZN0803
2007-12-28,19300.0,19320.0,18800.0,18950.0,168420.0,16016742000.0,37626.0,ZN0803
2008-01-02,18940.0,19350.0,18635.0,18955.0,172912.0,16491482000.0,42546.0,ZN0803
2008-01-03,19200.0,19715.0,19120.0,19685.0,207484.0,20110386700.0,54740.0,ZN0803
2008-01-04,20160.0,20160.0,20160.0,20160.0,2918.0,294134400.0,52450.0,ZN0803
2008-01-07,20050.0,20725.0,19840.0,20420.0,383644.0,39064550300.0,52122.0,ZN0803
2008-01-08,20210.0,20875.0,20210.0,20815.0,332542.0,34326647950.0,59842.0,ZN0803
2008-01-09,21470.0,21470.0,20890.0,21080.0,342314.0,36139800550.0,56294.0,ZN0803
2008-01-10,20800.0,20820.0,20270.0,20270.0,223408.0,22983098000.0,56048.0,ZN0803
2008-01-11,20205.0,20445.0,19780.0,20400.0,353162.0,35528097200.0,53344.0,ZN0803
2008-01-14,20030.0,20345.0,19810.0,20040.0,285862.0,28800596500.0,57620.0,ZN0803
2008-01-15,20100.0,20220.0,19340.0,19350.0,251196.0,24837004500.0,56530.0,ZN0803
2008-01-16,18980.0,19120.0,18980.0,18980.0,12134.0,1151819950.0,55220.0,ZN0803
2008-01-17,18600.0,19330.0,18450.0,19305.0,273184.0,25863695200.0,47354.0,ZN0803
2008-01-18,19095.0,19260.0,18820.0,19190.0,191056.0,18226742400.0,37200.0,ZN0803
2008-01-21,19410.0,19610.0,19085.0,19110.0,64076.0,6218575800.0,32510.0,ZN0803
2008-01-22,18730.0,18820.0,18730.0,18730.0,21576.0,2021671200.0,48382.0,ZN0804
2008-01-23,19010.0,19230.0,17735.0,18500.0,482724.0,44712310500.0,60262.0,ZN0804
2008-01-24,18300.0,18940.0,18300.0,18800.0,495514.0,46243844050.0,63964.0,ZN0804
2008-01-25,18735.0,18935.0,18615.0,18790.0,358964.0,33724667800.0,64524.0,ZN0804
2008-01-28,18695.0,18790.0,18230.0,18500.0,344302.0,31779074600.0,67280.0,ZN0804
2008-01-29,19000.0,19195.0,18800.0,19195.0,226088.0,21478360000.0,62366.0,ZN0804
2008-01-30,19600.0,19980.0,19325.0,19580.0,406142.0,39791762450.0,60304.0,ZN0804
2008-01-31,19515.0,19950.0,19515.0,19930.0,405054.0,40080093300.0,70948.0,ZN0804
2008-02-01,20580.0,20580.0,20400.0,20485.0,150770.0,15514233000.0,63202.0,ZN0804
2008-02-04,20380.0,21280.0,20380.0,21265.0,263726.0,27519808100.0,75888.0,ZN0804
2008-02-05,21195.0,21260.0,20680.0,20905.0,301824.0,31555699200.0,69570.0,ZN0804
2008-02-13,21150.0,21380.0,20070.0,20070.0,344242.0,35284805000.0,73050.0,ZN0804
2008-02-14,20120.0,20470.0,19780.0,20030.0,386962.0,38928377200.0,77640.0,ZN0804
2008-02-15,19650.0,19710.0,19420.0,19655.0,201894.0,19765422600.0,73250.0,ZN0804
2008-02-18,19510.0,19950.0,19480.0,19920.0,198840.0,19680189000.0,70046.0,ZN0804
2008-02-19,20100.0,20120.0,19405.0,19420.0,138092.0,13636585000.0,59640.0,ZN0804
2008-02-20,19700.0,19870.0,19370.0,19620.0,98338.0,9659250050.0,43268.0,ZN0804
2008-02-21,19850.0,20525.0,19785.0,20525.0,212660.0,21468027000.0,89558.0,ZN0805
2008-02-22,20805.0,21325.0,20700.0,20915.0,373418.0,39152877300.0,97484.0,ZN0805
2008-02-25,21000.0,21805.0,21000.0,21805.0,329464.0,34593720000.0,122940.0,ZN0805
2008-02-26,21500.0,21720.0,20250.0,20420.0,397244.0,41253789400.0,101348.0,ZN0805
2008-02-27,20890.0,21280.0,20555.0,20725.0,443634.0,46337571300.0,107128.0,ZN0805
2008-02-28,21690.0,21690.0,21440.0,21690.0,217468.0,23584404600.0,93048.0,ZN0805
2008-02-29,22000.0,22450.0,21850.0,22090.0,409886.0,45292403000.0,104782.0,ZN0805
2008-03-03,21920.0,22880.0,21840.0,22755.0,379666.0,42693441700.0,118254.0,ZN0805
2008-03-04,22980.0,23275.0,21890.0,22670.0,447078.0,50866299450.0,114810.0,ZN0805
2008-03-05,22180.0,22530.0,22055.0,22150.0,376390.0,41967485000.0,108026.0,ZN0805
2008-03-06,22800.0,22980.0,22485.0,22680.0,273466.0,31079410900.0,102408.0,ZN0805
2008-03-07,22000.0,22250.0,21950.0,22205.0,175352.0,19411466400.0,96842.0,ZN0805
2008-03-10,21790.0,22100.0,21300.0,21360.0,204616.0,22042258600.0,94372.0,ZN0805
2008-03-11,21080.0,21350.0,21035.0,21345.0,121914.0,12849735600.0,89734.0,ZN0805
2008-03-12,21250.0,21580.0,20655.0,20840.0,286328.0,30264869600.0,85708.0,ZN0805
2008-03-13,21210.0,21280.0,20750.0,20930.0,210670.0,22341553500.0,81106.0,ZN0805
2008-03-14,20900.0,21350.0,20600.0,21290.0,207950.0,21824352500.0,75462.0,ZN0805
2008-03-17,21145.0,21435.0,20800.0,21275.0,135678.0,14344556550.0,63810.0,ZN0805
2008-03-18,20305.0,20400.0,20295.0,20295.0,21886.0,2221976150.0,57040.0,ZN0805
2008-03-19,20395.0,20435.0,19820.0,19990.0,45980.0,4633634500.0,47106.0,ZN0805
2008-03-20,19420.0,19420.0,19420.0,19420.0,8588.0,833894800.0,58536.0,ZN0806
2008-03-21,18850.0,19500.0,18850.0,19295.0,233036.0,22429715000.0,68382.0,ZN0806
2008-03-24,19405.0,19495.0,19185.0,19260.0,167292.0,16147860300.0,73658.0,ZN0806
2008-03-25,19450.0,19835.0,19360.0,19800.0,187926.0,18444936900.0,80668.0,ZN0806
2008-03-26,19700.0,19870.0,19185.0,19205.0,258118.0,25424623000.0,101984.0,ZN0806
2008-03-27,19255.0,19365.0,18800.0,19265.0,337688.0,32308299400.0,92756.0,ZN0806
2008-03-28,19600.0,19645.0,19260.0,19460.0,215746.0,20959723900.0,84334.0,ZN0806
2008-03-31,19305.0,19620.0,19180.0,19485.0,227646.0,21973530150.0,88506.0,ZN0806
2008-04-01,19050.0,19190.0,18665.0,18665.0,229808.0,21745582000.0,99786.0,ZN0806
2008-04-02,18940.0,19115.0,18680.0,19075.0,262736.0,24881099200.0,88388.0,ZN0806
2008-04-03,19375.0,19490.0,19200.0,19420.0,194368.0,18790526400.0,83388.0,ZN0806
2008-04-07,19600.0,19675.0,19425.0,19505.0,148888.0,14568690800.0,82334.0,ZN0806
2008-04-08,19510.0,19555.0,19010.0,19190.0,189458.0,18230596050.0,86074.0,ZN0806
2008-04-09,19150.0,19335.0,18915.0,19275.0,199378.0,19110381300.0,82822.0,ZN0806
2008-04-10,19460.0,19535.0,19155.0,19285.0,148504.0,14352911600.0,83394.0,ZN0806
2008-04-11,19020.0,19120.0,18680.0,18760.0,209592.0,19801204200.0,99972.0,ZN0806
2008-04-14,18570.0,18650.0,18135.0,18220.0,139526.0,12745700100.0,100312.0,ZN0806
2008-04-15,18300.0,18620.0,18230.0,18580.0,169326.0,15637256100.0,87758.0,ZN0806
2008-04-16,18500.0,18665.0,18190.0,18630.0,190556.0,17559735400.0,79546.0,ZN0806
2008-04-17,18730.0,18860.0,18620.0,18640.0,130734.0,12249775800.0,70016.0,ZN0806
2008-04-18,18500.0,18535.0,18315.0,18405.0,90848.0,8369372000.0,64484.0,ZN0806
2008-04-21,18500.0,18630.0,18140.0,18270.0,61840.0,5686188000.0,56118.0,ZN0806
2008-04-22,17850.0,18185.0,17810.0,18080.0,168726.0,15193776300.0,63742.0,ZN0807
2008-04-23,18300.0,18335.0,18125.0,18185.0,111370.0,10134670000.0,61590.0,ZN0807
2008-04-24,18080.0,18460.0,18035.0,18390.0,177160.0,16214569000.0,65536.0,ZN0807
2008-04-25,18280.0,18380.0,18180.0,18240.0,98252.0,8980232800.0,65520.0,ZN0807
2008-04-28,18550.0,18650.0,18430.0,18590.0,133160.0,12347261000.0,71448.0,ZN0807
2008-04-29,18510.0,18570.0,18385.0,18430.0,78206.0,7220368950.0,69376.0,ZN0807
2008-04-30,18210.0,18360.0,18210.0,18290.0,59152.0,5385789600.0,68976.0,ZN0807
2008-05-05,18200.0,18200.0,17885.0,17965.0,86926.0,7823340000.0,79746.0,ZN0807
2008-05-06,18100.0,18175.0,17885.0,18145.0,122326.0,11042979650.0,80716.0,ZN0807
2008-05-07,18300.0,18300.0,18000.0,18050.0,97736.0,8867098600.0,82038.0,ZN0807
2008-05-08,18050.0,18195.0,18000.0,18125.0,86204.0,7792841600.0,82328.0,ZN0807
2008-05-09,18060.0,18065.0,17900.0,17980.0,84358.0,7577457350.0,85070.0,ZN0807
2008-05-12,17770.0,18080.0,17705.0,17910.0,163678.0,14669640750.0,94412.0,ZN0807
2008-05-13,18015.0,18395.0,17990.0,18375.0,191898.0,17457920550.0,107788.0,ZN0807
2008-05-14,18675.0,18920.0,18470.0,18845.0,259518.0,24342788400.0,127170.0,ZN0807
2008-05-15,18700.0,18780.0,18380.0,18475.0,220840.0,20455305000.0,123302.0,ZN0807
