date,open,high,low,close,volume,money,open_interest,symbol
2013-10-18,978.0,984.0,962.0,977.0,300818.0,29345529200.0,65042.0,I1405
2013-10-21,976.0,977.0,960.0,969.0,95432.0,9230707200.0,68130.0,I1405
2013-10-22,963.0,966.0,948.0,948.0,91296.0,8728862400.0,76004.0,I1405
2013-10-23,949.0,953.0,936.0,939.0,116490.0,11000123000.0,81162.0,I1405
2013-10-24,938.0,939.0,916.0,926.0,169028.0,15687645400.0,87872.0,I1405
2013-10-25,928.0,936.0,917.0,918.0,104060.0,9647274400.0,86472.0,I1405
2013-10-28,920.0,928.0,917.0,923.0,83790.0,7727837400.0,93480.0,I1405
2013-10-29,924.0,925.0,913.0,921.0,105876.0,9710710600.0,99058.0,I1405
2013-10-30,919.0,930.0,916.0,924.0,118272.0,10913153000.0,91262.0,I1405
2013-10-31,925.0,927.0,920.0,922.0,74672.0,6893437200.0,84820.0,I1405
2013-11-01,921.0,954.0,921.0,942.0,321242.0,30276584000.0,107582.0,I1405
2013-11-04,943.0,957.0,942.0,950.0,175080.0,16619307400.0,122298.0,I1405
2013-11-05,948.0,954.0,943.0,946.0,108384.0,10267662400.0,121942.0,I1405
2013-11-06,949.0,951.0,942.0,944.0,69362.0,6560806600.0,123650.0,I1405
2013-11-07,945.0,947.0,939.0,945.0,91676.0,8655909000.0,124958.0,I1405
2013-11-08,947.0,948.0,936.0,939.0,66340.0,6237069600.0,120532.0,I1405
2013-11-11,940.0,944.0,934.0,942.0,57564.0,5404929200.0,112342.0,I1405
2013-11-12,940.0,944.0,936.0,943.0,45594.0,4285756600.0,107938.0,I1405
2013-11-13,941.0,952.0,940.0,943.0,96484.0,9135948600.0,110812.0,I1405
2013-11-14,940.0,944.0,937.0,937.0,55752.0,5244187600.0,103446.0,I1405
2013-11-15,939.0,942.0,930.0,931.0,76014.0,7110065600.0,102752.0,I1405
2013-11-18,931.0,935.0,925.0,932.0,52704.0,4906656800.0,99378.0,I1405
2013-11-19,931.0,943.0,930.0,942.0,60164.0,5636563400.0,106904.0,I1405
2013-11-20,943.0,946.0,940.0,942.0,43452.0,4095802600.0,104228.0,I1405
2013-11-21,942.0,943.0,932.0,932.0,41322.0,3865791400.0,105090.0,I1405
2013-11-22,934.0,935.0,929.0,931.0,52592.0,4901580800.0,106092.0,I1405
2013-11-25,933.0,936.0,928.0,933.0,38196.0,3561585400.0,104188.0,I1405
2013-11-26,934.0,943.0,934.0,941.0,72650.0,6822023400.0,108162.0,I1405
2013-11-27,940.0,942.0,933.0,936.0,30614.0,2867343200.0,106536.0,I1405
